index,unused_border,ellipse_similar_center_dist,ellipse_similar_axis_dist,ellipse_similar_angle_dist,ellipse_max_iter,ellipse_line_fitting_area,canny_quantile_2,canny_quantile_1,blur_k_size,num_data,duration_mean,hd_mean,hd_std,dice_mean,dice_std,diff_mean,diff_std,adiff_mean,adiff_std
12,5,20,10,0.17453292519943295,5000,7,0.95,0.9,11,998,2.0661384713425877,4.693904005232834,4.6023858700695675,0.916093253417751,0.11287658750408787,-0.7246836583119172,16.509490340665117,14.076402291724701,14.076402291724701
15,5,20,10,0.3490658503988659,10000,7,0.95,0.9,11,998,4.067349247895704,3.9912627385418307,3.506212805930343,0.9269910452626144,0.09619943626514878,0.6040838432406079,15.139854808077514,12.987397289078324,12.987397289078324
6,5,20,10,0.17453292519943295,10000,7,0.95,0.8,11,998,4.102337628957827,4.567469317885603,4.478851968220098,0.9173254754743151,0.1113159750789888,-0.8528588991747225,16.72786416604572,14.591998781278004,14.591998781278004
0,5,20,10,0.17453292519943295,5000,7,0.9,0.8,11,998,1.8385033638278145,5.804430357498162,5.61482636761682,0.8971260543169298,0.12608488269146712,-2.286771321311292,19.213919492096956,16.39809702704962,16.39809702704962
4,5,20,10,0.17453292519943295,5000,7,0.95,0.8,11,998,1.880709219939973,5.001918562156241,4.973532548316313,0.9096538321721508,0.11626121776012421,-0.7872287649060496,17.08470712934591,14.600137675219143,14.600137675219143
8,5,20,10,0.17453292519943295,5000,7,0.9,0.9,11,998,1.8816949832666094,4.985084477118339,4.883513147682194,0.9104775908157978,0.1159815027429921,-1.130850213983893,17.420278829917688,15.00338735769456,15.00338735769456
7,5,20,10,0.3490658503988659,10000,7,0.95,0.8,11,998,3.7607974698396123,4.287747844807804,4.062903342660506,0.9222385824225428,0.10240673492384532,0.31768377578696055,14.86042584141449,12.522641512848878,12.522641512848878
13,5,20,10,0.3490658503988659,5000,7,0.95,0.9,11,998,1.8546596941883902,4.36576695861478,3.8626408214713424,0.9212009785665172,0.10055295782990027,0.03278686215050277,16.21122833595453,13.802002963914285,13.802002963914285
11,5,20,10,0.3490658503988659,10000,7,0.9,0.9,11,998,3.7276552515029757,4.434662583076371,4.99234865215282,0.9210374948300472,0.10882980941791524,0.6018803470129824,15.629907642067273,13.295539892667424,13.295539892667424
3,5,20,10,0.3490658503988659,10000,7,0.9,0.8,11,998,3.682691228457023,4.749433584623699,4.584689184578424,0.9147885563982581,0.10984481367931373,-1.036488772736295,15.88609945495103,13.360594154340475,13.360594154340475
2,5,20,10,0.17453292519943295,10000,7,0.9,0.8,11,998,3.8071730707416065,5.110251110972241,5.230842656797728,0.9089213678609058,0.11870668444931017,-1.8655668175459947,17.621556251885416,15.223978159629068,15.223978159629068
9,5,20,10,0.3490658503988659,5000,7,0.9,0.9,11,998,1.8386467055110578,4.872992449785019,5.334883666618611,0.9128587667690516,0.11872985194327834,0.06018054247712763,16.891374814963914,14.261854624661696,14.261854624661696
1,5,20,10,0.3490658503988659,5000,7,0.9,0.8,11,998,1.789679858516967,5.429141534281256,5.274147319525877,0.904142229483416,0.11830634182368095,-1.684864015971651,20.647488698896346,18.02603743681489,18.02603743681489
5,5,20,10,0.3490658503988659,5000,7,0.95,0.8,11,998,1.8317268159317939,4.70702014080582,4.3854209254709575,0.9146817306614328,0.1084126726822665,0.3410731689146729,15.02357784235981,12.172787135044283,12.172787135044283
14,5,20,10,0.17453292519943295,10000,7,0.95,0.9,11,998,3.9529814073145912,4.258399245480862,4.034255403437367,0.9240716267218956,0.09910397724558334,-0.14519899449560428,15.25219725648426,13.106130684080789,13.106130684080789
10,5,20,10,0.17453292519943295,10000,7,0.9,0.9,11,998,3.9011286240479794,4.485754156054635,4.916711366398462,0.9203723611083838,0.10783134858862961,-0.713509950047093,16.82460123997416,14.694616970312062,14.694616970312062
0,5,20,10,0.3490658503988659,10000,7,0.95,0.9,11,998,5.898611856212481,3.9912627385418307,3.506212805930343,0.9269910452626144,0.09619943626514878,0.6040838432406079,15.139854808077514,7.800446686672568,12.987397289078324
