index,unused_border,gaussian_sigma_x,gaussian_k_size,ellipse_straight_ratio_threshold,ellipse_lying_threshold,ellipse_identify_threshold,ellipse_center_reject_distance,canny_quantile_2,canny_quantile_1,blur_k_size,num_data,duration_mean,hd_mean,hd_std,dice_mean,dice_std,diff_mean,diff_std,adiff_mean,adiff_std
24,5,3,5,30,0.1,0.5,70,0.95,0.8,11,998,1.3952904875751375,18.55600208497377,25.39963229867319,0.7369945322081962,0.26795142458367066,1.8549620661824004,74.48060586838106,41.74096246002412,61.6988613212436
31,5,3,11,50,0.5,0.5,70,0.95,0.8,11,998,1.3934040690381695,20.032219284694488,24.00873969772522,0.7116843671437684,0.24812266412314826,-15.926194166476943,85.76730372486679,51.18194304819216,70.62371901733455
28,5,3,5,30,0.5,0.5,70,0.95,0.8,11,998,1.3111707700401514,21.05313559260169,24.982648511258834,0.7009047950867063,0.25723538769453796,-13.617603790377794,89.51230245860158,53.525399593733226,73.00846136386012
13,5,3,11,30,0.5,0.5,70,0.95,0.7,11,998,1.744568014929896,19.69161059628216,22.743566098358894,0.7162151710865348,0.23244474866328027,-17.57255664195315,84.1592632524162,51.61246356808486,68.74131075630166
1,5,3,11,30,0.1,0.5,70,0.9,0.7,11,998,2.550419741683455,inf,,0.758932777238418,0.23504453469743805,-1.4502709870450967,60.876421596325464,35.102988444027865,49.74523471290695
8,5,3,5,30,0.1,0.5,70,0.95,0.7,11,998,1.6562641748495004,17.22082122576786,21.7544208109796,0.7507523962862429,0.2439203321068488,-3.291912871383243,68.11356196264438,39.2466053468414,55.75360007044908
16,5,3,5,30,0.1,0.5,70,0.9,0.8,11,998,1.719898539378806,18.185907842868943,23.946114222165157,0.7380745445374524,0.26485995657008626,-0.07897024056185141,73.3423415910131,41.39220743571567,60.53157858472183
15,5,3,11,50,0.5,0.5,70,0.95,0.7,11,998,1.761498054809577,19.703855040871325,22.74392571825152,0.7157954033791363,0.23206040236560282,-17.553317572973803,84.18460432615326,51.53861850285236,68.82283189770259
12,5,3,5,30,0.5,0.5,70,0.95,0.7,11,998,1.6453802334667298,19.925317160641974,21.449015283792846,0.7088663579552639,0.23641067940427263,-17.86381265734459,84.16974523459196,52.06843141579008,68.48460456229905
9,5,3,11,30,0.1,0.5,70,0.95,0.7,11,998,1.7340251281561203,17.0531062089294,23.0318478898501,0.7555889568657537,0.24062608097360133,-0.6259847956807665,64.98957782938689,36.987361446311226,53.428460470345286
30,5,3,5,50,0.5,0.5,70,0.95,0.8,11,998,1.3318666009018234,20.959196001011783,24.65055365634258,0.700975830367482,0.2556996460469645,-14.985371580805815,89.84393986423827,53.91383334068705,73.39688859590807
11,5,3,11,50,0.1,0.5,70,0.95,0.7,11,998,1.758802749599164,17.056270401795793,23.01696632934319,0.7559208889007933,0.23945262763416902,-0.9574642007007401,65.22320623489279,37.20505182801241,53.566594312140815
18,5,3,5,50,0.1,0.5,70,0.9,0.8,11,998,1.7411555045089295,18.030396587669404,23.17208866636331,0.7387752276144071,0.2629801365260231,-1.7447775072700045,73.74424997186165,41.96045349121282,60.65324452239043
6,5,3,5,50,0.5,0.5,70,0.9,0.7,11,998,2.4962070817634077,19.794993542214534,20.278956397847605,0.7081950742416308,0.23095712145578087,-20.23858987530539,83.73176497647773,52.31885394626019,68.41792047417724
25,5,3,11,30,0.1,0.5,70,0.95,0.8,11,998,1.3458848865733077,17.834095215529356,24.690787257564924,0.7466320906337601,0.258074418724818,-1.4275635069682429,76.25474067111207,40.89798641220212,64.3622753292216
4,5,3,5,30,0.5,0.5,70,0.9,0.7,11,998,2.444056767635309,19.788129895818876,20.40132038364919,0.7087204949097894,0.23285810616750294,-18.877572975757086,83.56206563832886,51.81503806740265,68.20445706505825
22,5,3,5,50,0.5,0.5,70,0.9,0.8,11,998,1.7682864575150827,20.630815963698772,22.84561410124695,0.6998509631199259,0.2529527729330845,-17.65895659469888,88.53712164429169,54.20463694263092,72.17952468982774
2,5,3,5,50,0.1,0.5,70,0.9,0.7,11,998,2.45846389869731,17.162537936516177,20.51624413020474,0.7496965994202165,0.23837232606092737,-5.633618854166879,67.3487284616579,39.69923853402564,54.680987627509225
23,5,3,11,50,0.5,0.5,70,0.9,0.8,11,998,1.8071181237474103,19.102436668571503,20.836088563795354,0.7160179928545983,0.24156356981650579,-19.842055369568442,84.90605415649568,50.60678843048381,70.98960696474313
27,5,3,11,50,0.1,0.5,70,0.95,0.8,11,998,1.3775019405812365,17.69767812446227,24.338152562542465,0.747614988736856,0.25565609814990314,-2.740562812360008,76.03527035516295,41.10308126470589,64.01345733056704
21,5,3,11,30,0.5,0.5,70,0.9,0.8,11,998,1.7748343266534128,19.342280695589835,21.786171679292558,0.7155940573378428,0.24527204792298204,-17.254477890028536,83.39387849754011,50.02269076987273,68.90410147530136
17,5,3,11,30,0.1,0.5,70,0.9,0.8,11,998,1.798266950701242,17.1956437673706,22.05573973850058,0.7497527577178439,0.25169494017933874,-4.102699971983936,73.62289138373436,40.15067627453646,61.83433862075367
26,5,3,5,50,0.1,0.5,70,0.95,0.8,11,998,1.3235506000000057,18.490642197637083,25.057180884808332,0.737695215285151,0.2660962918947338,0.18915479947424765,74.9194605150423,42.30920851552128,61.815020816859715
14,5,3,5,50,0.5,0.5,70,0.95,0.7,11,998,1.6888705145290965,19.8881124627146,21.328289528995576,0.7086691345380138,0.2344236472439354,-19.268851661302588,84.22773706876984,52.4020847883558,68.68216661225237
10,5,3,5,50,0.1,0.5,70,0.95,0.7,11,998,1.6847745656312998,17.18884674877653,21.637230937462068,0.7513685877430992,0.2421043059792628,-4.382298676628493,68.64651411070369,39.63403860330041,56.206183857256136
0,5,3,5,30,0.1,0.5,70,0.9,0.7,11,998,2.4425767249500523,17.16510385717979,20.618749289979185,0.7492436109894847,0.24018503607058478,-4.329342981752213,66.54457247202471,39.15327061325489,53.96689674846124
5,5,3,11,30,0.5,0.5,70,0.9,0.7,11,998,2.5814043750500266,inf,,0.7160457726363785,0.22584233212607147,-22.345470413933217,85.57140171377567,53.51346681167182,70.39689072350873
19,5,3,11,50,0.1,0.5,70,0.9,0.8,11,998,1.8284362118235342,16.926311970708852,21.121794109585903,0.7514046391430597,0.2480889277726413,-6.413519238246724,75.65852422032489,40.77060743532582,64.04277553642012
20,5,3,5,30,0.5,0.5,70,0.9,0.8,11,998,1.710619457514923,20.78703769979176,23.588501770567195,0.6998699162964968,0.254589361078095,-16.51412727719397,88.5364556593533,53.8796464244167,72.15099352805272
29,5,3,11,30,0.5,0.5,70,0.95,0.8,11,998,1.3592305770542805,20.172448115502064,24.37526444736394,0.7111553844204814,0.2506080358622502,-14.306633162431469,86.13481394440659,51.0994246612499,70.78362107426513
7,5,3,11,50,0.5,0.5,70,0.9,0.7,11,998,2.5751871167334963,inf,,0.7158542449105976,0.224557068087974,-22.812299639980544,85.85116262677178,53.68986501582823,70.7520474989856
3,5,3,11,50,0.1,0.5,70,0.9,0.7,11,998,2.632274172545032,inf,,0.7602147970952635,0.23282284726401786,-2.509792713792546,61.642636725043886,35.5211615493548,50.42917382342849
